,pontoId,lat,lon,lat_pred,lon_pred,erro_loc
0,1578.0,-8.069616,-34.894836,-8.07590197272596,-34.89639631930601,70.57307398043798
1,1726.0,-8.069243,-34.888069,-8.07302738421717,-34.89557673492719,14.671842588219832
2,1742.0,-8.069219,-34.900562,-8.0769374062787,-34.902397877427106,298.97460517979465
3,2041.0,-8.068377,-34.890716999999995,-8.063560705258146,-34.88990966713276,112.01513209939978
4,1970.0,-8.068586999999999,-34.897018,-8.067890204989823,-34.88896471773324,103.20669810443067
5,2477.0,-8.065628,-34.892662,-8.064284387297631,-34.90351851394125,228.6683045244612
6,2100.0,-8.068026,-34.890564000000005,-8.07385217245617,-34.89612598514221,76.60858940600053
7,285.0,-8.076082000000001,-34.899817999999996,-8.06869070917971,-34.89127521907352,27.718637036231847
8,1545.0,-8.069702000000001,-34.89806,-8.068655302008537,-34.88937000156361,65.49584136552743
9,694.0,-8.073580999999999,-34.897671,-8.063022675528007,-34.90369163084649,205.74611274878686
10,1339.0,-8.070419000000001,-34.893299,-8.068188147258105,-34.888280891568876,92.25895034946765
11,1913.0,-8.068716,-34.897636,-8.071925156145566,-34.89175252193069,32.24164293289829
12,453.0,-8.07521,-34.892113,-8.072814784129456,-34.896605789756926,22.59049863816467
13,1911.0,-8.068727,-34.889603,-8.068525049231166,-34.890955075665865,33.933198569244205
14,1128.0,-8.071367,-34.891890999999994,-8.072560943601314,-34.89663011148187,48.40257115201287
15,904.0,-8.072575,-34.896355,-8.071561276043706,-34.88891624146001,358.6911268346168
16,1667.0,-8.069393,-34.889519,-8.074225098065488,-34.89807764778916,56.64752970434329
17,388.0,-8.075513,-34.893074,-8.075139579821872,-34.90299059039412,315.76529630201554
18,2710.0,-8.063748,-34.893966999999996,-8.071337034354155,-34.90007093941455,80.1089904837491
19,1899.0,-8.068761,-34.889,-8.07242202182162,-34.89787054047031,86.68398135327678
20,1352.0,-8.070367999999998,-34.896941999999996,-8.074253066969812,-34.89969395888194,18.665245158004325
