	lat	lon	pathBTS1	pathBTS2	pathBTS3	pathBTS4	pathBTS5	pathBTS6
0	-8.076391000000001	-34.895984999999996	120.61	104.38	129.97	123.62	129.46	132.08
1	-8.072939	-34.895676	105.29	121.523333333333	106.556666666667	108.756666666667	122.556666666667	126.123333333333
2	-8.076255999999999	-34.899772999999996	122.256666666667	110.42333333333299	124.49	135.256666666667	142.956666666667	142.556666666667
3	-8.064446	-34.889416	127.42333333333299	132.656666666667	130.556666666667	131.856666666667	126.09	137.723333333333
4	-8.068819	-34.888874	121.49	136.423333333333	128.19	122.723333333333	107.256666666667	120.323333333333
5	-8.064005	-34.901463	135.356666666667	120.99	130.89	117.35666666666701	129.156666666667	115.056666666667
6	-8.073252	-34.896473	93.29	113.023333333333	97.79	102.756666666667	125.123333333333	129.056666666667
7	-8.068914999999999	-34.891163	123.556666666667	132.39	130.956666666667	120.29	80.79	130.756666666667
8	-8.06922	-34.889549	125.42333333333299	130.59	134.856666666667	113.556666666667	102.69	133.89
9	-8.061242	-34.904232	134.54	114.54	128.465	130.865	128.69	128.54
10	-8.068885	-34.888740999999996	117.065	131.39	127.915	126.015	104.065	120.34
11	-8.071978999999999	-34.89204	106.15666666666701	111.956666666667	119.756666666667	92.5233333333333	108.42333333333299	128.49
12	-8.072692	-34.896442	103.15666666666701	104.49	120.623333333333	99.0233333333333	119.59	129.79
13	-8.068786	-34.891117	123.35666666666701	132.223333333333	130.99	113.723333333333	81.4233333333333	125.323333333333
14	-8.072564999999999	-34.896190999999995	106.42333333333299	104.99	115.523333333333	98.6233333333333	119.39	128.09
15	-8.07068	-34.892047999999996	114.556666666667	127.523333333333	123.59	115.556666666667	107.59	132.856666666667
16	-8.073753	-34.898277	120.29	109.34	95.14	103.14	129.09	130.29
17	-8.073727	-34.900501	118.69	114.29	112.59	126.79	142.34	130.54
18	-8.071461	-34.900787	117.89	118.69	113.79	114.65666666666701	135.19	124.956666666667
19	-8.071959	-34.897236	115.59	109.29	118.29	105.24	127.64	126.59
20	-8.074096	-34.899632000000004	124.42333333333299	106.323333333333	100.99	114.99	135.623333333333	140.223333333333
21	-8.067605	-34.893211	116.09	131.04	120.04	111.79	126.24	114.59
22	-8.069309	-34.895466	95.89	114.256666666667	121.056666666667	95.8566666666667	112.79	114.99
23	-8.063569000000001	-34.895435	135.19	106.09	127.15666666666701	133.456666666667	131.556666666667	126.15666666666701
24	-8.071365	-34.900771999999996	121.49	119.15666666666701	112.89	118.723333333333	129.89	120.19
25	-8.073663	-34.897976	113.99	96.24	89.24	102.99	132.09	130.99
26	-8.074213	-34.900158000000005	118.523333333333	106.99	91.5233333333333	120.85666666666701	130.523333333333	138.756666666667
27	-8.075788000000001	-34.893932	111.89	116.865	122.915	108.89	122.615	136.915
28	-8.064786999999999	-34.894169	136.765	114.54	130.64	130.24	119.54	111.715
29	-8.069633	-34.898239000000004	101.223333333333	116.35666666666701	116.456666666667	112.69	118.19	99.29
30	-8.0764	-34.895984999999996	124.24	106.19	130.54	123.956666666667	129.173333333333	139.356666666667
31	-8.068199	-34.89196	108.99	138.24	122.99	109.64	115.89	116.14
32	-8.07434	-34.890223999999996	99.74	133.965	120.365	119.44	117.065	136.715
33	-8.069567999999999	-34.890842	108.723333333333	132.456666666667	124.256666666667	114.79	102.92333333333299	106.056666666667
34	-8.066949000000001	-34.893809999999995	120.14	133.24	121.94	117.39	124.94	109.44
35	-8.070072	-34.889942	103.69	137.32333333333298	131.923333333333	121.256666666667	114.323333333333	128.423333333333
36	-8.068591	-34.897282000000004	110.756666666667	114.056666666667	116.59	108.723333333333	128.656666666667	101.19
37	-8.072828999999999	-34.895278999999995	93.2233333333333	118.69	94.29	111.09	117.65666666666701	128.556666666667
38	-8.072875	-34.89423	100.223333333333	112.69	112.59	86.29	111.623333333333	124.323333333333
39	-8.072353	-34.89658	99.7566666666667	105.056666666667	122.956666666667	97.29	126.623333333333	130.356666666667
40	-8.065456	-34.892818	137.44	120.69	131.54	127.89	118.94	123.54
41	-8.068294999999999	-34.89175	108.79	129.59	127.39	122.956666666667	114.456666666667	111.223333333333
42	-8.068697	-34.896336	108.123333333333	118.59	116.956666666667	116.09	121.35666666666701	112.556666666667
43	-8.070791	-34.892506	96.14	125.49	125.34	106.29	110.34	114.44
44	-8.071302000000001	-34.900803	120.92333333333299	121.556666666667	112.456666666667	123.19	130.49	124.256666666667
45	-8.072524000000001	-34.892223	107.023333333333	127.65666666666701	122.223333333333	105.556666666667	115.123333333333	126.523333333333
46	-8.069708	-34.898113	101.65666666666701	116.99	121.92333333333299	109.756666666667	122.09	101.623333333333
47	-8.065804	-34.890656	137.015	138.365	137.79	131.415	118.94	120.315
48	-8.07663	-34.899662	123.89	103.256666666667	129.09	131.256666666667	133.856666666667	140.423333333333
49	-8.075749	-34.896190999999995	116.65666666666701	115.59	127.29	121.056666666667	128.123333333333	134.423333333333
50	-8.072496000000001	-34.892406	112.123333333333	124.19	114.15666666666701	109.89	108.223333333333	121.59
51	-8.063555000000001	-34.89521	137.223333333333	104.79	131.19	131.99	130.856666666667	120.35666666666701
